SoC,OCV,R0,R1,R2,C1,C2,Tau1,Tau2
57.875,52.2815907625265,0.056087277490147,0.0407565708480898,0.0296100742963028,610.6520081963442,7024.654806507142,24.093584623878115,228.04016122853187
57.876,52.28160152981504,0.0560865061774346,0.0407568869088316,0.0296106855921149,610.6495927178179,7024.567478232762,24.09378635242642,228.04164320811748
57.877,52.281612297936185,0.0560857348877525,0.0407572029879409,0.029611296976547,610.6471769468247,7024.480142350395,24.093988097765653,228.0431252912606
57.878,52.28162306688995,0.0560849636211146,0.0407575190854125,0.029611908449594,610.6447608833648,7024.392798860042,24.09418985989245,228.044607477929
57.879,52.28163383667634,0.0560841923775346,0.0407578352012412,0.0296125200112507,610.6423445274382,7024.3054477617015,24.094391638803447,228.0460897680904
57.88,52.28164460729536,0.056083421157026,0.0407581513354219,0.029613131661512,610.6399278790449,7024.218089055376,24.094593434495287,228.04757216171265
57.881,52.28165537874704,0.0560826499596028,0.0407584674879492,0.0296137434003728,610.6375109381848,7024.130722741063,24.09479524696461,228.04905465876345
57.882,52.28166615103136,0.0560818787852784,0.040758783658818,0.0296143552278279,610.635093704858,7024.043348818763,24.09499707620805,228.0505372592105
57.883,52.28167692414835,0.0560811076340668,0.0407590998480232,0.0296149671438721,610.6326761790646,7023.955967288476,24.09519892222224,228.05201996302165
57.884,52.281687698098,0.0560803365059816,0.0407594160555594,0.0296155791485004,610.6302583608043,7023.8685781502045,24.09540078500382,228.05350277016456
57.885,52.28169847288033,0.0560795654010365,0.0407597322814216,0.0296161912417076,610.6278402500774,7023.781181403945,24.095602664549432,228.05498568060705
57.886,52.28170924849535,0.0560787943192451,0.0407600485256045,0.0296168034234886,610.6254218468837,7023.693777049699,24.095804560855704,228.0564686943168
57.887,52.28172002494304,0.0560780232606214,0.040760364788103,0.0296174156938383,610.6230031512233,7023.606365087467,24.09600647391927,228.05795181126155
57.888,52.28173080222346,0.0560772522251789,0.0407606810689118,0.0296180280527514,610.6205841630962,7023.5189455172485,24.096208403736767,228.05943503140904
57.889,52.281741580336586,0.0560764812129313,0.0407609973680257,0.0296186405002229,610.6181648825024,7023.431518339043,24.09641035030484,228.060918354727
57.89,52.28175235928243,0.0560757102238925,0.0407613136854395,0.0296192530362476,610.6157453094418,7023.344083552851,24.0966123136201,228.0624017811831
57.891,52.281763139061006,0.0560749392580761,0.0407616300211481,0.0296198656608203,610.6133254439145,7023.256641158672,24.0968142936792,228.0638853107451
57.892,52.28177391967232,0.0560741683154958,0.0407619463751463,0.029620478373936,610.6109052859205,7023.169191156508,24.097016290478763,228.06536894338072
57.893,52.28178470111638,0.0560733973961653,0.0407622627474287,0.0296210911755895,610.6084848354596,7023.081733546356,24.097218304015428,228.06685267905763
57.894,52.28179548339319,0.0560726265000985,0.0407625791379903,0.0296217040657756,610.6060640925323,7022.994268328218,24.09742033428582,228.06833651774355
57.895,52.28180626650276,0.056071855627309,0.0407628955468259,0.0296223170444892,610.603643057138,7022.906795502093,24.09762238128658,228.0698204594062
57.896,52.28181705044511,0.0560710847778104,0.0407632119739301,0.0296229301117251,610.6012217292771,7022.819315067982,24.09782444501433,228.07130450401328
57.897,52.28182783522024,0.0560703139516167,0.0407635284192979,0.0296235432674783,610.5988001089495,7022.731827025885,24.09802652546571,228.0727886515324
57.898,52.28183862082815,0.0560695431487414,0.040763844882924,0.0296241565117435,610.5963781961551,7022.6443313758,24.098228622637343,228.07427290193127
57.899,52.28184940726886,0.0560687723691983,0.0407641613648033,0.0296247698445156,610.593955990894,7022.556828117729,24.098430736525863,228.0757572551777
57.9,52.28186019454238,0.0560680016130012,0.0407644778649304,0.0296253832657894,610.5915334931661,7022.469317251673,24.098632867127893,228.07724171123925
57.901,52.28187098264871,0.0560672308801637,0.0407647943833003,0.0296259967755599,610.5891107029715,7022.381798777628,24.098835014440077,228.0787262700836
57.902,52.28188177158786,0.0560664601706996,0.0407651109199077,0.0296266103738217,610.5866876203103,7022.294272695598,24.099037178459024,228.0802109316785
57.903,52.28189256135985,0.0560656894846227,0.0407654274747474,0.0296272240605699,610.5842642451823,7022.206739005582,24.09923935918137,228.08169569599144
57.904,52.28190335196467,0.0560649188219466,0.0407657440478142,0.0296278378357993,610.5818405775876,7022.119197707578,24.09944155660376,228.08318056299024
57.905,52.28191414340235,0.0560641481826851,0.0407660606391029,0.0296284516995046,610.5794166175261,7022.031648801588,24.0996437707228,228.08466553264256
57.906,52.28192493567288,0.0560633775668519,0.0407663772486082,0.0296290656516808,610.576992364998,7021.944092287611,24.09984600153512,228.086150604916
57.907,52.28193572877628,0.0560626069744608,0.0407666938763251,0.0296296796923226,610.574567820003,7021.856528165648,24.10004824903735,228.08763577977817
57.908,52.28194652271255,0.0560618364055255,0.0407670105222482,0.029630293821425,610.5721429825414,7021.768956435699,24.10025051322612,228.0891210571968
57.909,52.281957317481705,0.0560610658600597,0.0407673271863724,0.0296309080389827,610.569717852613,7021.681377097762,24.10045279409805,228.0906064371395
57.91,52.28196811308374,0.0560602953380772,0.0407676438686924,0.0296315223449907,610.567292430218,7021.59379015184,24.10065509164977,228.0920919195739
57.911,52.28197890951869,0.0560595248395917,0.0407679605692031,0.0296321367394437,610.5648667153562,7021.50619559793,24.100857405877903,228.09357750446765
57.912,52.28198970678654,0.056058754364617,0.0407682772878992,0.0296327512223365,610.5624407080277,7021.418593436035,24.10105973677907,228.09506319178837
57.913,52.282000504887314,0.0560579839131667,0.0407685940247755,0.0296333657936641,610.5600144082324,7021.330983666152,24.1012620843499,228.0965489815036
57.914,52.28201130382101,0.0560572134852547,0.0407689107798269,0.0296339804534213,610.5575878159705,7021.243366288283,24.101464448587016,228.09803487358116
57.915,52.28202210358764,0.0560564430808947,0.040769227553048,0.0296345952016029,610.5551609312417,7021.155741302428,24.10166682948704,228.09952086798847
57.916,52.28203290418721,0.0560556727001003,0.0407695443444338,0.0296352100382037,610.5527337540464,7021.068108708586,24.101869227046592,228.10100696469323
57.917,52.282043705619735,0.0560549023428854,0.0407698611539789,0.0296358249632186,610.5503062843842,7020.9804685067575,24.1020716412623,228.1024931636631
57.918,52.282054507885206,0.0560541320092638,0.0407701779816782,0.0296364399766424,610.5478785222552,7020.892820696942,24.10227407213078,228.1039794648656
57.919,52.28206531098365,0.056053361699249,0.0407704948275264,0.02963705507847,610.5454504676596,7020.805165279141,24.102476519648658,228.1054658682683
57.92,52.282076114915085,0.056052591412855,0.0407708116915184,0.0296376702686961,610.5430221205974,7020.717502253352,24.102678983812552,228.1069523738389
